Entity,Code,Year,Number of states in a region (Gleditsch Ward),Number of states in a region (Correlates of War),Number of states in a region (Butcher and Griffiths)
Africa,,1816,5,0,75
Africa,,1817,5,0,76
Africa,,1818,5,0,75
Africa,,1819,5,0,75
Africa,,1820,5,0,75
Africa,,1821,5,0,74
Africa,,1822,5,0,74
Africa,,1823,5,0,76
Africa,,1824,5,0,76
Africa,,1825,5,1,76
Africa,,1826,5,1,76
Africa,,1827,5,1,76
Africa,,1828,5,1,77
Africa,,1829,5,1,77
Africa,,1830,4,1,81
Africa,,1831,4,1,81
Africa,,1832,4,1,82
Africa,,1833,4,1,81
Africa,,1834,4,1,80
Africa,,1835,3,1,80
Africa,,1836,3,1,79
Africa,,1837,3,1,79
Africa,,1838,3,1,79
Africa,,1839,3,1,79
Africa,,1840,3,1,79
Africa,,1841,3,1,81
Africa,,1842,3,1,81
Africa,,1843,3,1,81
Africa,,1844,3,1,81
Africa,,1845,3,1,81
Africa,,1846,3,1,81
Africa,,1847,4,2,81
Africa,,1848,4,2,81
Africa,,1849,4,2,81
Africa,,1850,4,2,80
Africa,,1851,4,2,80
Africa,,1852,5,2,82
Africa,,1853,5,2,82
Africa,,1854,6,2,83
Africa,,1855,7,2,81
Africa,,1856,7,2,82
Africa,,1857,7,2,82
Africa,,1858,7,2,82
Africa,,1859,7,2,82
Africa,,1860,7,2,83
Africa,,1861,7,2,81
Africa,,1862,7,2,82
Africa,,1863,7,2,80
Africa,,1864,7,2,79
Africa,,1865,7,2,79
Africa,,1866,7,2,78
Africa,,1867,7,2,78
Africa,,1868,7,2,76
Africa,,1869,7,2,76
Africa,,1870,7,2,76
Africa,,1871,7,2,75
Africa,,1872,7,2,75
Africa,,1873,7,2,74
Africa,,1874,7,2,72
Africa,,1875,7,2,72
Africa,,1876,7,2,71
Africa,,1877,7,2,70
Africa,,1878,7,2,71
Africa,,1879,7,2,70
Africa,,1880,7,2,72
Africa,,1881,6,2,71
Africa,,1882,6,1,69
Africa,,1883,6,1,69
Africa,,1884,6,1,68
Africa,,1885,6,1,68
Africa,,1886,6,1,66
Africa,,1887,6,1,59
Africa,,1888,6,1,59
Africa,,1889,6,1,55
Africa,,1890,6,1,52
Africa,,1891,6,1,48
Africa,,1892,6,1,45
Africa,,1893,6,1,42
Africa,,1894,6,1,37
Africa,,1895,6,1,32
Africa,,1896,5,1,29
Africa,,1897,5,1,26
Africa,,1898,5,2,23
Africa,,1899,5,2,20
Africa,,1900,5,2,20
Africa,,1901,5,2,17
Africa,,1902,5,2,14
Africa,,1903,5,2,10
Africa,,1904,4,2,10
Africa,,1905,4,2,9
Africa,,1906,4,2,8
Africa,,1907,4,2,8
Africa,,1908,4,2,8
Africa,,1909,4,2,6
Africa,,1910,3,2,6
Africa,,1911,3,2,6
Africa,,1912,3,2,4
Africa,,1913,3,1,4
Africa,,1914,3,1,4
Africa,,1915,3,1,4
Africa,,1916,3,1,4
Africa,,1917,3,1,4
Africa,,1918,3,1,4
Africa,,1919,3,1,4
Africa,,1920,3,3,4
Africa,,1921,3,3,4
Africa,,1922,3,3,4
Africa,,1923,3,3,4
Africa,,1924,3,3,4
Africa,,1925,3,3,4
Africa,,1926,3,3,4
Africa,,1927,3,3,4
Africa,,1928,3,3,4
Africa,,1929,3,3,4
Africa,,1930,3,3,4
Africa,,1931,3,3,4
Africa,,1932,3,3,4
Africa,,1933,3,3,4
Africa,,1934,3,3,4
Africa,,1935,3,3,4
Africa,,1936,3,3,3
Africa,,1937,3,2,3
Africa,,1938,3,2,3
Africa,,1939,3,2,3
Africa,,1940,3,2,3
Africa,,1941,3,3,4
Africa,,1942,3,3,4
Africa,,1943,3,3,4
Africa,,1944,3,3,4
Africa,,1945,3,3,3
Africa,,1946,3,3,3
Africa,,1947,3,3,3
Africa,,1948,3,3,3
Africa,,1949,3,3,3
Africa,,1950,3,3,3
Africa,,1951,4,4,4
Africa,,1952,4,4,4
Africa,,1953,4,4,4
Africa,,1954,4,4,4
Africa,,1955,4,4,4
Africa,,1956,7,7,7
Africa,,1957,8,8,8
Africa,,1958,9,9,9
Africa,,1959,9,9,9
Africa,,1960,26,26,26
Africa,,1961,28,28,28
Africa,,1962,32,32,32
Africa,,1963,34,34,34
Africa,,1964,35,36,35
Africa,,1965,37,37,37
Africa,,1966,39,39,39
Africa,,1967,39,39,39
Africa,,1968,42,42,42
Africa,,1969,42,42,42
Africa,,1970,42,42,42
Africa,,1971,42,42,42
Africa,,1972,42,42,42
Africa,,1973,42,42,42
Africa,,1974,43,43,43
Africa,,1975,48,48,48
Africa,,1976,49,49,49
Africa,,1977,50,50,50
Africa,,1978,50,50,50
Africa,,1979,50,50,50
Africa,,1980,50,50,50
Africa,,1981,50,50,50
Africa,,1982,50,50,50
Africa,,1983,50,50,50
Africa,,1984,50,50,50
Africa,,1985,50,50,50
Africa,,1986,50,50,50
Africa,,1987,50,50,50
Africa,,1988,50,50,50
Africa,,1989,50,50,50
Africa,,1990,51,51,51
Africa,,1991,51,51,51
Africa,,1992,51,51,51
Africa,,1993,52,52,52
Africa,,1994,52,52,52
Africa,,1995,52,52,52
Africa,,1996,52,52,52
Africa,,1997,52,52,52
Africa,,1998,52,52,52
Africa,,1999,52,52,52
Africa,,2000,52,52,52
Africa,,2001,52,52,52
Africa,,2002,52,52,52
Africa,,2003,52,52,52
Africa,,2004,52,52,52
Africa,,2005,52,52,52
Africa,,2006,52,52,52
Africa,,2007,52,52,52
Africa,,2008,52,52,52
Africa,,2009,52,52,52
Africa,,2010,52,52,52
Africa,,2011,53,53,53
