Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,12910461000000.0,12983131200000.0,12006395500000.0,13130530000000.0,13331315000000.0,12312357000000.0,13532538000000.0,13838158000000.0,14294594000000.0,12450422000000.0,11739284000000.0,13884400000000.0,15117637000000.0,15511216000000.0,16033668000000.0,16616529000000.0,14827600000000.0,15637039000000.0,15016079000000.0,14422821000000.0,13793818000000.0,13172788000000.0,12720069000000.0,12177687000000.0,11516919000000.0,10991667000000.0,11928774000000.0,10619917000000.0,10027723000000.0,9597434680000.0,9741172706000.0,8860290000000.0,10601700735900.0,11162976804300.0,11513088983200.0,11466154853000.0,12945414400400.0,13612824959000.0,11486430797900.0,7032323096400.0,7616615215300.0,13122236147500.0,15300121736800.0,12538317078400.0,18752295883200.0,16214836560000.0,20052969667200.0,13911578331200.0,22555991360000.0,20647709400000.0,16405769760000.0,22834389780000.0,23573278650000.0,24534808300000.0,21165531910000.0,20363423898600.0,18206443958600.0,15783745946300.0,21131183851200.0,22670995530000.0,18462454990000.0,17854873990900.0,19872620757800.0
Albania,1113125380000.0,1149222150000.0,1130427930000.0,1342656700000.0,1260557270000.0,1684231030000.0,1872115160000.0,1916071790000.0,1962352740000.0,2000779890000.0,2018168380000.0,2170976000000.0,2308939800000.0,2370000000000.0,2456545000000.0,3090400000000.0,3258270000000.0,3370444000000.0,3592443750000.0,3253126000000.0,3400306000000.0,3635311000000.0,3966696000000.0,3831905000000.0,3629006000000.0,3801037000000.0,3701513000000.0,3519734000000.0,3827956000000.0,3303350000000.0,1687756770000.0,1625021198800.0,2374271818200.0,2328576420000.0,2393066690000.0,1947286330000.0,2247176770000.0,2267686360000.0,1919787900000.0,2155691200000.0,1946485420000.0,1989496000000.0,1898544500000.0,1911060100000.0,1965857900000.0,1972814180000.0,1924287000000.0,2343406550000.0,2433794612800.0,2694158532200.0,2741924694300.0,2743562106400.0,2772704825800.0,2759072653000.0,2761367191600.0,2779236414000.0,2789536275400.0,2709067130000.0,2690355287800.0,2739703467500.0,2792539118100.0,2786026010900.0,2807770137700.0
Algeria,4342250510000.0,9000276300000.0,8845490330000.0,5892182790000.0,7048542370000.0,3339824340000.0,6183885480000.0,8096068370000.0,7098879870000.0,7804783040000.0,6779686290000.0,8479467580000.0,5978573580000.0,5706830080000.0,9631859240000.0,8242685920000.0,4383019850000.0,5609579460000.0,6033780550000.0,8676386400000.0,6847565220000.0,5697447280000.0,5098283950000.0,5763256080000.0,10762806140000.0,9158967670000.0,8073327770000.0,4722187800000.0,7985565290000.0,6512344280000.0,13676398285800.0,12186918597000.0,6106770616800.0,4183535968000.0,8361284613900.0,17306594840300.0,4054177207100.0,11265811525500.0,7939494837900.0,4445563356200.0,9945653355800.0,7906420863100.0,15917607075200.0,15175403516200.0,13774554022400.0,15470078416600.0,13509068920500.0,7409143509400.0,19999540003000.0,17084446651600.0,17695833469800.0,20900589816600.0,20695409139400.0,15861278529400.0,16903938360400.0,16004006506600.0,16082187649800.0,24608102087700.0,23601585410900.0,19371304593700.0,13888109078500.0,18163500146700.0,16814868939500.0
Angola,3820581340000.0,3876027040000.0,3795464250000.0,4010845830000.0,4116634770000.0,3984337750000.0,4098779480000.0,4184386950000.0,4798342320000.0,4631015800000.0,4466822270000.0,4302423550000.0,4555634610000.0,4229247010000.0,4065010000000.0,4045810000000.0,3624180000000.0,3817500000000.0,3286680000000.0,3361320000000.0,2957740000000.0,2959790000000.0,3079020000000.0,3103490000000.0,3156460000000.0,3360766000000.0,3483566000000.0,3425746000000.0,3277606000000.0,3205017080000.0,3723630400000.0,4056343093200.0,3889826023000.0,4287788933200.0,4561990862500.0,5165718631900.0,4868883231700.0,6340692771300.0,5943961634800.0,7352959119200.0,8769473393700.0,10592589119700.0,11566699436900.0,13436683756800.0,14407927329000.0,14091253238200.0,15919400950400.0,16401164128100.0,21109121308400.0,22702855762700.0,24415591930200.0,17048044821400.0,28023132053600.0,19904315584700.0,20765451541300.0,22316041589800.0,23009984799000.0,24867757576200.0,25420808675200.0,26850341630800.0,27283369694600.0,28703785379800.0,30392225932800.0
Antigua and Barbuda,56290720000.0,60112230000.0,78532130000.0,78315810000.0,41056420000.0,25014200000.0,15930640000.0,4392130000.0,12956010000.0,13506620000.0,41686560000.0,1759130000.0,1465790000.0,912490000.0,1221450000.0,1177100000.0,883280000.0,1239040000.0,1465760000.0,1868860000.0,1972660000.0,2712770000.0,1158110000.0,521290000.0,1091180000.0,971400000.0,1032610000.0,1109390000.0,978800000.0,959710000.0,953684500.0,962315500.0,939299800.0,928759100.0,820874000.0,862346000.0,875060100.0,883786700.0,897989100.0,892838900.0,927711200.0,991880000.0,1063510000.0,1149750000.0,1183695500.0,1236226200.0,1259753200.0,1301822100.0,1298670400.0,1295482600.0,1352534600.0,1366437200.0,1413799800.0,1434569300.0,1473007700.0,1342121900.0,1137306700.0,913453000.0,904107100.0,772335000.0,821253000.0,960722100.0,1031752100.0
Argentina,52167644350000.0,51931688000000.0,61698091000000.0,73082172000000.0,53979056000000.0,64366405000000.0,70849723600000.0,59784715500000.0,68470594320000.0,74993674000000.0,81166686000000.0,68310407800000.0,88261864200000.0,91202883000000.0,87803971000000.0,93562984000000.0,89040563000000.0,109163396000000.0,105084475370000.0,83592299040000.0,123496081420000.0,138436488200000.0,128694196100000.0,139379037770000.0,126120764100000.0,121229667550000.0,108366780380000.0,119613247500000.0,91086013680000.0,109122739700000.0,122769890090000.0,134050294680000.0,132032876030000.0,130195512970000.0,142582737870000.0,136448423177000.0,175235604511100.0,213601093245900.0,186696061560000.0,206756743840600.0,225173704838100.0,229108804170000.0,238109015207700.0,233915902810600.0,283953793023500.0,259606088302700.0,316847135323400.0,322127969943300.0,206534607036800.0,325726623908500.0,350495636538700.0,308274309035000.0,353880808145500.0,368272843760500.0,410689589391400.0,419625559872000.0,458983188559400.0,382336608226600.0,487129088776200.0,472398950456600.0,471330473064300.0,474522937854700.0,309308103836700.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388397160000.0,1443498600000.0,1246174000000.0,1298956000000.0,1506862970000.0,1222878910000.0,1501122800000.0,1387170790000.0,1038305130000.0,1577496020000.0,1744855000000.0,1494689810000.0,2061618960000.0,1889591490000.0,1319295330000.0,2160082720000.0,2049449180000.0,1887587240000.0,1633484340000.0,2091662950000.0,2211936170000.0,2520533520000.0,2670360320000.0,2739656788000.0,2612472195000.0,1633445594000.0,1609542700000.0,1164377791000.0,1371118092000.0,1012450498000.0,1253081611000.0,1417036145000.0
Australia,30987666100000.0,37840745530000.0,39976673330000.0,44818815080000.0,34082908310000.0,55176154120000.0,36957178820000.0,64365009070000.0,49604194080000.0,44598255500000.0,52711176630000.0,41192669930000.0,60496696660000.0,59447450110000.0,63927215860000.0,63258567870000.0,53661444760000.0,86754892270000.0,81852840010000.0,60620635150000.0,83481758170000.0,54564496320000.0,105001192630000.0,100861971010000.0,89622816090000.0,85309821050000.0,71025255340000.0,78461083620000.0,81194678710000.0,83123593520000.0,81725829430000.0,72602886770000.0,86720309260000.0,100645392000000.0,64655667370000.0,103167327530000.0,133659623570000.0,118051047140000.0,131405914500000.0,142506666540000.0,134731729490000.0,146687394050000.0,74448614261000.0,156408968596600.0,134151489150000.0,151450418930000.0,73936979740000.0,102662814920000.0,132060594090000.0,129811359138100.0,155661992970500.0,174605173242100.0,152346592390000.0,159491146869300.0,152659870525800.0,143153901456100.0,199210289088100.0,146572894305100.0,120067772822600.0,107876065132600.0,202658140204900.0,233585143065000.0,257433248050600.0
Austria,8315775630000.0,8474310430000.0,9253573590000.0,9628901840000.0,7633595820000.0,10334360230000.0,11101240110000.0,11581030880000.0,12530584910000.0,11539602560000.0,12443210970000.0,12116823790000.0,13530245320000.0,14184698010000.0,13652279370000.0,15131797680000.0,14911745660000.0,15586846300000.0,14304799540000.0,16778347750000.0,15744721650000.0,18291808390000.0,17323165300000.0,18568404350000.0,19139824990000.0,17439777070000.0,17437367140000.0,18723863760000.0,17814242930000.0,18742263530000.0,18375060423400.0,16476315401700.0,16566390930500.0,17163300903200.0,17432279541100.0,17658825218000.0,18945137122900.0,18330500874600.0,18887058705000.0,17281963078000.0,18352425087600.0,18399422866600.0,16028719950000.0,19705955876600.0,18761604880000.0,17427865926000.0,18113493297700.0,21794498201600.0,19737467465600.0,18727607914700.0,22161712746800.0,18879385918100.0,18034717313500.0,22379477761700.0,18147327981100.0,21666730828300.0,18907054940000.0,18139048542000.0,19813685400000.0,20677565700000.0,20584998200000.0,19857927300000.0,19917477900000.0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5793164310000.0,4911981110000.0,4467183660000.0,4065772670000.0,4454290720000.0,4252439185000.0,3785334450000.0,4324448520000.0,5833031822400.0,7460320540000.0,8161932810000.0,7827949370000.0,8280550360000.0,8452670790000.0,8186689400000.0,7911216390000.0,9434346290000.0,10921158690000.0,7732937382000.0,9288163747000.0,10363971656000.0,10874654207000.0,8870683370500.0,10893856367000.0,11367148778000.0,11301720009500.0,12452524109500.0,13469700805000.0,12755297406000.0,12972227283000.0,12428065118500.0,12569594733500.0
