Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,216479939540000.0,240158270260000.0,246456240200000.0,237520429250000.0,242943825130000.0,237090210690000.0,280631373850000.0,271216169380000.0,278798698390000.0,287331034060000.0,304766711730000.0,302910607930000.0,275800828540000.0,324574411980000.0,326234549350000.0,331584326110000.0,319862245880000.0,329507734530000.0,320706012850000.0,342983820490000.0,362653288710000.0,349530530280000.0,324383382470000.0,335443539510000.0,389560456820000.0,413516685830000.0,400903603270000.0,444776741680000.0,464089462560000.0,452236787078000.0,506991204986200.0,459860572331400.0,500976970785600.0,533412881894200.0,496815566431200.0,591085075809900.0,546412315482000.0,570302972886800.0,573886129697700.0,574111615938900.0,593438135766100.0,610981650158300.0,659477202104700.0,680010578257800.0,705994534790500.0,744180390630600.0,706577774630600.0,763660467684900.0,792462274093100.0,850553564211900.0,870011267807000.0,901323512734700.0,939004500396100.0,993173407034900.0,984014310748000.0,993968368974900.0,1068793681142200.0,1096018729859600.0,1084492770251400.0,1126696119507100.0,1174283020995500.0,1176599090606300.0,1187814430337700.0
Americas,859600207300000.0,888842817890000.0,975671207500000.0,948735809880000.0,1040431707160000.0,1076931192260000.0,1160892378980000.0,1140106953580000.0,1165719947740000.0,1115927090460000.0,1326969152610000.0,1280316404080000.0,1339287993270000.0,1229707098900000.0,1416555404600000.0,1505635300670000.0,1521933581050000.0,1572126664770000.0,1644792652420000.0,1566989531580000.0,1866496419340000.0,1892461614120000.0,1420757210870000.0,1814928862250000.0,1969724912940000.0,1882828010660000.0,1779452267390000.0,1459347842930000.0,1761047973990000.0,1868609618532600.0,1780313648569000.0,2069946522956400.0,1723102426375800.0,2085769735549400.0,1855630533314700.0,2064540619264700.0,2102174739387700.0,2152949241391900.0,2110025530908500.0,2155713981514800.0,2119503063008600.0,1979422334721200.0,2273013257020500.0,2438120025610300.0,2343037116046400.0,2257369970611100.0,2628851367320700.0,2689427972635300.0,2641141845246200.0,2658534419296000.0,2643438761070400.0,2606152823672100.0,3005768088537100.0,2994597369732200.0,3000689808010200.0,3225234760555400.0,3158958915346200.0,3082864275285500.0,3133978428973800.0,3218574444406500.0,3177173298630900.0,3167430310589700.0,3344966144499200.0
Asia,1316318770720000.0,1391713274530000.0,1465324289120000.0,1541039398930000.0,1554955512850000.0,1622233589170000.0,1691231978680000.0,1747124162220000.0,1791680824410000.0,1909377507880000.0,1950127841310000.0,1919142425320000.0,2063896834060000.0,2085641092850000.0,2248958442030000.0,2279283444860000.0,2337832850900000.0,2511713355350000.0,2511170679000000.0,2555104702180000.0,2652601757600000.0,2751397570610000.0,2976226942640000.0,3080741513090000.0,3041976839650000.0,3114527087640000.0,3112307847980000.0,3241670787720000.0,3372244384250000.0,3544240238254600.0,3549557309987100.0,3773569574157000.0,3829978781770000.0,3787065549263600.0,3912952614138700.0,4115364419307600.0,4111245897957300.0,4213951585540200.0,4339948705096200.0,4206380574434000.0,4237356333893500.0,4220940511777400.0,4275000278063200.0,4435853482341900.0,4634287019786900.0,4778805351561000.0,4931626584333900.0,5085915049984400.0,5123287707711100.0,5240779986284100.0,5535258543635700.0,5657370191465800.0,5795164321607100.0,5813238759793700.0,5996243518793000.0,6006915286834900.0,6151090814866500.0,6217860367167300.0,6281263147303700.0,6378277963724800.0,6509528988697500.0,6591291805739000.0,6714287297986500.0
Caribbean,33007547100000.0,27005680140000.0,25704692750000.0,26998240370000.0,30259551890000.0,26936368870000.0,30538318400000.0,27986815850000.0,28517864670000.0,41047323640000.0,32704411940000.0,30039197480000.0,30289417920000.0,31601745620000.0,30797844140000.0,32461537020000.0,34242622290000.0,37097159570000.0,38767236600000.0,34329091830000.0,34942255440000.0,37537519920000.0,36664757690000.0,39014040080000.0,35099002510000.0,35438050200000.0,35946063010000.0,37108980130000.0,38952599340000.0,37846966360000.0,37426490271300.0,34355079527100.0,26283139460500.0,25860159903200.0,23357689267000.0,26909984636800.0,27032831849500.0,23106869495700.0,25023962251600.0,25895918429700.0,25408448741400.0,26774527618500.0,23170995273600.0,23334557106500.0,18612184391600.0,18472312949300.0,19394723605800.0,19477011154600.0,20338879442200.0,19646575644800.0,20362897461900.0,20116635964400.0,22370377300800.0,22894935542100.0,22042797012500.0,21731837021800.0,22704216696900.0,20743528028900.0,21103420740200.0,18746560789600.0,18091454728600.0,17586931996300.0,16980417207700.0
Central America,48617873610000.0,50475491730000.0,54014447440000.0,63984713700000.0,68735940700000.0,71903794570000.0,72538774570000.0,76828549550000.0,76431324890000.0,81921930100000.0,81761602220000.0,79565376590000.0,82694010240000.0,81948304890000.0,91381386970000.0,89556476340000.0,95584355770000.0,102276427830000.0,90271578000000.0,109036808090000.0,122193157260000.0,108226750730000.0,116837394650000.0,120584197970000.0,134194634120000.0,120838732580000.0,124777193720000.0,115597030440000.0,117579974800000.0,132973839042600.0,125767361981300.0,141123601212000.0,135379503005500.0,139754904097000.0,143691546942500.0,153273721183700.0,148366680472900.0,154307513665600.0,147306936846600.0,149481333275700.0,162462239310000.0,154585064365800.0,166179504857600.0,170818544715700.0,160750714094900.0,173504043467100.0,183783553298300.0,190111982157700.0,173854830765200.0,188235902298700.0,166304777655800.0,187951052324200.0,192476219308100.0,203346814107800.0,197064985379500.0,214226989191100.0,210722238990800.0,206616239978400.0,207781372576700.0,208663195880000.0,209621606582800.0,209965847925500.0,211449370856200.0
Eastern Africa,58064188130000.0,59593583240000.0,60437350830000.0,61525647750000.0,63745099760000.0,65092093330000.0,72040816420000.0,69543993440000.0,75599251900000.0,74549537960000.0,80483298890000.0,85381545120000.0,79846542070000.0,86124186500000.0,89630624460000.0,97362044240000.0,97643582210000.0,93121899560000.0,93241292970000.0,95850919340000.0,102010440590000.0,102530795320000.0,104169450520000.0,97563870320000.0,109656789230000.0,114804892080000.0,108164497790000.0,119516889890000.0,122641152120000.0,118741788148000.0,112317760799600.0,97385329984300.0,116388661214400.0,109977735485300.0,117843244998400.0,133485071430000.0,125809782102700.0,128173719027300.0,138960605177000.0,137599460613100.0,149410790244500.0,145149476160100.0,148307780653400.0,164594505227300.0,163495216403600.0,183636689485500.0,183867867387200.0,181900055758000.0,199571693327800.0,228580661766000.0,231319908871400.0,243904675726100.0,244561260570900.0,261697618654700.0,253395759260400.0,254205863664500.0,271523426275100.0,283752501870100.0,279437303974900.0,302450934959300.0,309133219986600.0,309772420454600.0,311219329658700.0
Eastern Asia,558921300180000.0,606722994280000.0,657795431360000.0,711121875080000.0,761569768770000.0,824368280140000.0,839792098520000.0,827132480050000.0,834103096140000.0,916836431940000.0,942017438920000.0,930240358090000.0,1020379694410000.0,1047163352180000.0,1094240502990000.0,1106091118160000.0,1106985738570000.0,1214096940640000.0,1266457261590000.0,1210624594000000.0,1230086972100000.0,1336047732750000.0,1449584225460000.0,1528510806530000.0,1437019194030000.0,1484645974230000.0,1515072485560000.0,1486595165660000.0,1546962627740000.0,1680271126464800.0,1662623882301100.0,1687431827188300.0,1697559454090000.0,1667045937950000.0,1745423876465700.0,1878350902805700.0,1841696598224400.0,1907311108551200.0,1901954370541900.0,1735815401074300.0,1711498615511100.0,1722604334710800.0,1625997604169600.0,1768655129973100.0,1825104179470500.0,1887126842145100.0,1905333618101600.0,2006290496208300.0,2007759456667500.0,2061089836927300.0,2150963467305100.0,2230444774496500.0,2281128915521800.0,2297648143135400.0,2490453939955200.0,2481466239930300.0,2478767598229100.0,2468324350343600.0,2486040410557700.0,2494416115554800.0,2553775037013400.0,2552790996051600.0,2583277430053100.0
Eastern Europe,561194292650000.0,569225886080000.0,500591769500000.0,666399860090000.0,563920810940000.0,740478013950000.0,679084180830000.0,754755289930000.0,713647883910000.0,784144398440000.0,783922021180000.0,774018720230000.0,931823859270000.0,836607609470000.0,707101386670000.0,959954846170000.0,883516579550000.0,1006855251630000.0,850808736780000.0,841709939230000.0,756856920030000.0,847289884660000.0,837041543570000.0,818767873430000.0,831713967640000.0,910729817170000.0,884848862860000.0,849924489650000.0,910770758990000.0,932565477850000.0,797670672512300.0,673235091900000.0,716696243100000.0,620059121000000.0,600547665648200.0,560268559010500.0,682936396260000.0,513556847970000.0,512885308184000.0,507896715410000.0,674898186550000.0,659344020604800.0,534501438421800.0,731956640790000.0,683629472570000.0,648602065970000.0,598223633559000.0,837883697974100.0,752995217645000.0,619854417212000.0,841939812978800.0,685306929983200.0,851533403768400.0,936720699965400.0,880375780070300.0,987324786848400.0,1026324164054900.0,993394498950000.0,1054198872056000.0,1003099092831800.0,1090408827104700.0,1040437556078400.0,1051199980010600.0
Europe,938598638170000.0,997679237680000.0,934104885130000.0,1123833994630000.0,1025346436880000.0,1208238840450000.0,1202110826560000.0,1282387510300000.0,1239493343700000.0,1301819520460000.0,1360381539520000.0,1354508161880000.0,1539315996990000.0,1466030943530000.0,1299903545370000.0,1544228114340000.0,1514604949970000.0,1684674081260000.0,1527212025050000.0,1558820173170000.0,1455482857640000.0,1592417184500000.0,1542860098080000.0,1658621011400000.0,1617878354100000.0,1692879794410000.0,1651108462070000.0,1641184228100000.0,1714817744180000.0,1718551135594000.0,1623758754741000.0,1566619101649100.0,1571967920992600.0,1432821594973000.0,1410371582844900.0,1472540432035600.0,1616574811428100.0,1433071038058100.0,1441105666270700.0,1449886813747600.0,1584143153680200.0,1630714769785500.0,1397383993975900.0,1745829606355600.0,1624026046441000.0,1560684229603600.0,1510059315708600.0,1841947889707600.0,1743788762651800.0,1533128926909900.0,1825149881257600.0,1598628263334400.0,1822648669355700.0,1976147165479900.0,1885465638658900.0,1938263475127500.0,2000520042200800.0,1906154626553600.0,2044782161046900.0,1952819997465400.0,2048872242587900.0,1974140750057300.0,1952319475121500.0
Middle Africa,26545202530000.0,26627684330000.0,27408254770000.0,27220932810000.0,27232947820000.0,27143718950000.0,28421001390000.0,29717456680000.0,30671194440000.0,30740662160000.0,30675494380000.0,30780286040000.0,31526355840000.0,32503652120000.0,33855658120000.0,32891322700000.0,32821061830000.0,32546787110000.0,33163268680000.0,34540342640000.0,34150332030000.0,35960369850000.0,36297602930000.0,37020999040000.0,39253255900000.0,41454094430000.0,40611705080000.0,42427417560000.0,43388339360000.0,45073230330000.0,46690363746500.0,48203257241200.0,46784347449300.0,49242097437700.0,46572820737100.0,47958705936400.0,47831505882800.0,51587896174900.0,49663002403700.0,50311214171000.0,52136132514700.0,53921124624000.0,55893844591100.0,57497470409700.0,62146025235000.0,63374602114700.0,65885346502800.0,67447506732400.0,74401532924600.0,102680568515700.0,105237067154200.0,102901715654100.0,114895043969100.0,109364951530400.0,111199176369100.0,118545819118400.0,120701265234300.0,126428801891900.0,127957770456900.0,132778208432200.0,133960049697100.0,138926518186700.0,142830008606900.0
