Source,Target,Weight
Africa,Asia,-0.1425948402408282
Africa,Europe,-0.1537361985019382
Africa,Northern America,-0.1381569693065003
Africa,South America,0.0730686557842699
Africa,Oceania,-0.1407728472523157
Asia,Europe,0.5204150516098597
Asia,Northern America,0.4676775347154025
Asia,South America,-0.247345964330936
Asia,Oceania,0.476532588173482
Europe,Northern America,0.5042185691324736
Europe,South America,-0.2666718389446066
Europe,Oceania,0.5137654942096882
Northern America,South America,-0.2396480037036527
Northern America,Oceania,0.4617018262837561
South America,Oceania,-0.2441855230976714
