Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,3.0322500296685573,1.0864445211418672,-8.304851852437885,0.6569059939761809,2.196054908737552,-5.344058359020147,4.123815325965342,6.378398144376238,8.243069012674587,-8.675076627153526,-15.046543779802793,-1.8156293146382503,3.125535589292379,3.366071123090291,4.633182325400623,6.9127354319460235,-5.727957277291099,0.5220574816079672,0.014586344100597939,0.8467998534832532,-0.05512419216861367,-0.5823964661525562,-0.405282572369799,-1.749925972656912,-2.747097497901534,-2.741520574084701,11.235733819742915,2.4365670274148608,-0.9268974242422368,-3.0788885676679234,-2.196184915717069,-13.872819256901947,-2.6812296976353824,-0.32428395478443484,3.888277435354426,5.287138255577672,16.826009569404025,25.867981881525864,3.3129879107676867,-37.077662482995,-36.834691364059005,7.565164478977317,18.092649980290666,-12.287956384191164,23.03433488132358,-2.2167212274335037,12.207829288213823,-26.637835075094973,15.093903331734705,0.7225096823739482,-23.513219448591112,8.227289037237803,11.532342324877238,15.728233868315748,-1.518004937400888,-1.2993500655798769,-9.661502849550676,-20.368387941212614,8.619252441076455,18.162113991390147,-3.4055184832490126,-6.900197956631289,2.22708657037431
Albania,7.123825445895836,1.6536231401386647,-9.434031884806746,-0.6913363466172936,-15.104033517436207,5.927287124262792,9.9750751238706,6.360667681653435,3.9951272478657103,0.7487715037789762,-3.363746131961872,-2.241733693224277,-2.973066020163249,-7.0197823966476225,-9.61223897377786,7.922324518977149,6.882493985750355,3.9393163729829683,6.050283984817971,-7.763201035087823,-6.856810118199906,-1.3020397702674984,7.463097487058938,-0.36189161292617306,-6.825649276715248,1.1545631294169003,2.9918265663691708,4.7532634528770785,21.79154532809708,15.185861175329544,-35.844068630128895,-33.97691381263553,4.8619964141405525,8.385705088335893,15.648639408304488,-4.292245226134606,7.170274798444776,3.955273944787903,-9.81431132021728,6.07518758438596,-1.2803459759187328,2.847190743672773,-1.6302890688363645,-0.39534321365237635,-0.4595321622912374,-4.745111093998547,-10.927224895461075,2.35447164966953,1.120989751755206,6.606837232199976,4.04381005768313,0.8402482890267545,-0.19178784415817096,-1.4883674004485055,-0.7419998869692888,0.24109326946740267,1.3117639145539102,-1.0110203346402438,-1.2578437552930786,0.5898027323134123,1.9493017027678206,0.3136028533731876,-1.1454055642616994
Algeria,-32.17528755012465,35.71589370918157,30.666172677389685,-13.773490649480486,3.0835405258460566,-50.956407265946645,-8.50503588037386,20.55558092918003,9.78515481883859,11.413491628804174,-8.553797311908447,13.58604507999246,-19.0591170884715,-19.16690767237379,38.88819903927958,18.321975371370787,-35.340962091567796,-10.869218416238825,-3.0463532369025073,34.731925837610014,-0.006157256895409477,-14.513378477412154,-28.723850674602,-17.938584543713027,57.618695661924136,21.291188979339537,-2.2338186611428954,-46.61000684052922,-1.7375069954100524,-27.50589718017889,61.29103293057299,43.59747111426976,-34.6027792330783,-55.54174469193948,-10.912355961252201,107.86321987692735,-50.86344350283737,43.16592343703033,-8.032051188101988,-55.59242778285206,-9.545815233692519,-24.75885153024143,47.61557103365306,21.906587880838494,7.814247338453713,10.52174035727693,-12.415601722988608,-53.893392163071304,20.690643700702342,2.5989110248457603,6.29308756857151,22.372037330499445,15.497267569223435,-17.66223551477113,-13.744875251517588,-15.366711541960266,-16.531168073292744,26.490217576659497,21.049961100663317,0.5163001706826802,-25.757291214979332,3.097871440995288,4.775878999221162
Angola,-0.2481825374057123,0.7088104396517574,-1.8270528491420457,2.2234248350690824,2.540332566200735,-3.024704772679291,-2.7834203760913603,-3.711610080949531,8.449427132587312,2.1881850618307532,-0.6456209928817449,-2.1006146895125184,3.5486635665041275,-3.6394957499302625,-0.33113710033580773,4.117234808837863,-3.2107303937495635,6.220972605948264,-4.388950259824545,4.701778661457208,-6.297693408607913,-5.471464417858416,-1.575593006519398,-0.6638847748349117,1.4226090434736434,5.009858669329353,7.126382536828029,2.1743474327802357,-4.127315124010446,-9.993093425014052,2.6320552266690287,5.996690771087651,-2.3519094617192633,2.8048267241694393,3.2679751181989083,7.083076774443837,-8.295065013554039,6.444671243810389,-14.02514385261982,-7.119104280220427,-2.689463047986361,6.75757320579577,4.8717139590105765,8.9490009489765,0.5302895690606853,-8.191226219717278,-7.04965572471741,-11.749076344165319,7.567334970041324,10.46706036753287,15.231403489136577,-21.852629305182408,25.728929492571616,-11.894796348408741,-8.886332020897207,-2.1421838191009996,-1.771381591690928,3.0620570158885614,1.5872501795778697,2.878562237376819,-0.35243805738037276,-0.6004942120319104,-0.7808152129561506
Antigua and Barbuda,-19.009508358752573,-6.375885319284863,34.99388635859931,52.01132239012789,-8.337528704299956,-34.69793526432938,-49.169250405530896,-82.8555364082139,-20.42790827738247,39.62187566945889,516.5606096829923,-85.09153738692004,-91.07382259254764,-92.36370638671141,-86.71750257090135,-55.79284730542277,-169.1199465811243,-135.6979061594014,-9.136008384287702,32.227735470025586,42.249771513463514,100.58123341510179,-12.375597988642275,-68.50531579220907,-51.13807492500868,-31.57636313407213,-1.427375180060247,39.16891754898676,36.932762855185395,3.0914627483944317,2.062257967443413,2.2593426845145457,-0.43956345044057515,-0.7743178204217234,-6.088498983748431,-0.09265534800919563,1.9654851167058156,2.540217329449943,1.9109820827873354,-3.049535641018115,-4.699309820447279,-3.5355052541892023,-1.5461836617445348,3.343924418784684,1.8291904525001124,2.7302241475609073,0.9841197845111508,1.991839764280789,-1.693606495099273,-5.41240293039176,-3.1710998720620385,-3.5884472550446556,0.4140374135517229,6.135818904273567,17.32211737438447,13.545023239283923,3.592966600712376,-12.656610767343107,-3.258888231438973,-16.640987982397018,-6.817236465684333,9.272936212029851,3.6847851488875443
Argentina,-1.4835206549470954,-7.354716210482285,4.8207583606868445,20.256178755055817,-14.925487953713528,-0.7103659899163564,6.914251054518407,-12.199954303747095,-2.944063957903179,2.387905863316365,8.572250599250845,-14.229393277000291,4.664128052790926,6.866600341179977,1.090125740245274,5.1469377643123595,-6.067525836685397,6.845183659581165,-6.446310096043625,-29.829672666153055,6.45329424014161,15.700237362167627,7.2291650050164895,9.597335323002762,3.3964335718376435,0.13257812355548768,-8.254056764315958,-0.9981161804059875,-17.65090662601998,-9.960409255695776,8.303020867159198,12.505940570728793,5.1070955090344485,-8.111111255886511,-5.945659100383497,-20.012660344522082,13.498148766252068,21.92308007329799,-7.1591710273643905,6.6466882667403375,1.7628908736166282,-6.772825865764778,-11.587214359644701,-3.0999690823310524,16.53553782694092,-9.920122722471385,12.478019105950256,15.23034058505273,-32.11384401982547,-3.682588483307858,14.136251518746654,2.0073911180591453,2.31824722327823,-4.932262115019927,-5.535123255230152,-9.340519396976525,3.832913735128487,-9.242129364300467,2.914904519394364,3.1303539349350338,6.2671433225032676,13.905815141091225,-15.657728489707182
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.551321965833493,5.73766885442919,-3.7412002748832904,2.559978895804813,18.330917868097952,-6.492641564939554,10.2071414600036,-2.9154145493333044,-27.94626512242957,5.004270854450593,10.985829866076095,-10.037065432734043,19.531453714284794,7.503528261629875,-26.900617505819728,16.53798989515908,9.718063270363587,-3.2201982626207006,-23.2456978557744,-5.866820699417247,-6.079010106787891,5.220247604979976,14.363292881914536,20.881632543898306,21.79265725657725,-14.667701117631122,-4.075751016570832,-20.34174429382964,6.194990705802061,-15.044238260148536,5.381276409273463,8.273530656777488
Australia,0.7479768141139709,4.286593039765059,-1.0459062654507754,3.4278155921890687,-24.89684386077703,18.260937672665133,-22.120725134306696,34.19355785799355,1.1263039015830376,-13.395936135176182,3.3002912022735873,-22.44805854470407,8.874223912541703,2.0974457857763253,3.7290936168470004,0.5939895820914536,-18.15442265568858,25.30984881305572,10.542463645177923,-22.097817579417235,3.5683734255245625,-34.48262368875728,25.735121946266514,19.272434430498382,5.649837361421079,0.5206615904457678,-15.481810967870983,-6.612348028657132,-1.0019834633067393,11.101005849154312,5.544330659265788,-11.73662410906649,2.5239381832959005,11.033646829535645,-33.184804147432935,-4.203029660593139,21.731068618451925,0.11997035162120105,4.692259951745682,4.360680374400159,-1.5221520747095119,8.85090359852543,-42.26666660548767,29.510883325455907,10.375576551385645,26.163166687047774,-38.285081107579806,-16.82979436524114,1.5721071080140723,-2.776034901615396,13.38489903601847,15.069001513044297,-7.8876733619729205,-1.3797009598958319,0.540119056800624,-1.699910148120706,38.87906270025289,-1.8926129604998103,-16.946408048986477,-29.70583313326468,14.934233826787107,8.500613257331322,-3.110010541028468
Austria,-0.1825051681283746,-0.4943089021600845,5.26896139709895,5.032251761460846,-20.623870537296625,2.4674210197836035,4.749406879770962,4.2862453421630216,8.788553154000713,-3.957551874479665,-0.6822390854008005,-8.16158758081552,1.7720405636137586,3.528237720820172,-2.1153300201036833,5.12364458068108,0.2140183083259506,2.0509012407086513,-9.897625716413977,2.513697563759495,-6.081997302051753,6.163752054745735,-0.8661396094760079,4.250603147152304,5.225001939489211,-5.247480104585963,-5.118584585780457,2.2977933236704313,-0.07214083439046189,7.016992774475063,5.620566417596094,-5.9962224716162975,-6.823268274994833,-4.952277024511745,-3.0039087936578026,1.061362052929516,8.868178460374935,3.303504702202541,2.0790711202223897,-5.454194145107005,1.3889299249695366,1.8607852465841714,-11.007755032092446,9.49723204527003,1.8232941712050483,-8.732836839353228,-5.080712847498304,12.452485041967595,0.9010850024916762,-6.667114929551395,11.051149261786149,-5.808366325505851,-10.778911895846193,13.104072854447438,-6.746835978713707,10.226212894315239,-4.640783724090306,-8.751712993928539,-0.009903702310995134,4.846403159019067,3.746010985521121,-0.9940632049931241,-1.7134305618124277
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.661383997130397,1.89133722738971,8.103621842860012,4.31743574084862,12.715636609747078,6.1194967561498075,-18.324599258975816,-18.28512396281426,-1.4008122854102998,16.452462537450177,19.070789237411002,2.1600499559172146,0.29856655062578563,-3.6064106296219207,-6.665003455607689,-11.683803243729027,6.604107626575523,21.908359067508503,-17.105339247952653,-3.2005651470041427,5.914954503650313,7.5493801925390915,-14.8941854941142,2.22475607104977,2.125307113442269,-5.163974144344962,0.8072023676849094,5.350773009080711,-2.842388516408667,-0.030530172073745254,-3.4699563555917545,2.781133416942848
