Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,-3.5520868280404216,5.049736005965304,4.394163140456532,-2.818911909870537,-3.2887053492301055,-8.315973724718662,7.251913096319231,0.26253045842196826,0.7993445837631225,0.41443570970835575,3.507616027857569,0.11962973793913212,-10.995203880079583,5.018823321102895,3.1849241656467666,2.5978205231504177,-2.6918422450420714,0.3873226144944507,-3.5304813944343323,1.6356278117151086,8.180974469267834,2.020390611295233,-8.784889980745293,-8.716435095916674,1.909372368242741,3.9969292032772468,-2.6975094730216544,3.437360671511206,4.297341820620431,-3.226510519591088,5.811379586397395,-6.908512965528225,-1.3088386306012638,2.5599322313160724,-6.696942924847606,9.966777078988116,-0.7699850492107657,1.7803857265225362,-0.5323979320154638,-3.4308819706965332,-2.676648916649686,-2.7806493933920993,2.967847457427693,1.883225463875051,2.104354072702343,3.7249848240606696,-5.380455781539899,-1.6568518748726553,-2.087639111552151,1.9573425128338202,0.5677159347773633,0.05382859063835753,0.5501401035569382,2.7160774097485607,-1.2556224937353402,-3.251527856563875,1.4593046733529835,1.5452041179969536,-1.9325310102358588,-0.23763288548991207,1.9277453347660178,0.09933892149159015,-0.7568249037436059
Americas,1.089175048801438,-1.5422834709388826,2.688892449961675,-4.640126940310914,0.4318825646831237,0.21629975485185937,4.553217120470797,-0.4202055083605485,-0.4400673904946352,-7.159030321760727,7.049775735028876,0.7201511535327917,1.4744348931723297,-8.797372865279689,1.4253709973175925,1.1845734251340212,-0.6021660286603969,1.1226590912319738,2.0691839377386962,-6.239410174986005,6.857309457616685,7.835429719510822,-19.245116433056246,2.5379804291913515,12.321074667741422,6.084168567933997,0.8671907754967694,-17.583258317033387,-1.3379663949616893,2.6458703507889805,-1.646814953159378,12.461245513517621,-9.304180471222315,6.205734898990246,-8.872495256719603,1.7165529895104954,3.247613419153699,3.973033274783286,0.38197538856726987,1.0089780174822902,-1.018423086176266,-10.092139168770984,1.5122172322949823,5.874315905220047,-1.410562778418595,-6.975117511024566,5.82798557313025,5.043431772012646,0.8922185241725966,-0.455712887457003,-3.846841265602591,-8.102251983766543,3.8166059892326736,1.8266889830971627,-0.35125342296829076,5.343588720560266,1.5039804404190715,-2.225336956927513,-1.5885948450420624,0.29901524773969007,-1.6514339561109406,-2.3796876611421247,2.994073570369235
Asia,0.13147253858112964,-0.07825006028043029,0.24749334648116367,1.1600324504894102,-1.722444805982378,-0.990477674632103,0.03401887850927156,0.146926259083842,-0.5042628140514698,2.6348118342828957,1.559134966294621,-3.8595944061540086,0.15565414305413378,-2.0670425071459113,1.9300976628739381,0.27621035488036283,-0.05977162095872642,3.130497421902324,-0.8729937247030278,-2.7781847142811125,-2.4575194270097316,-1.6434216786598357,3.9719857341711178,4.440302225017583,0.3348666049711304,-0.5145058688483225,-3.6282971769738834,-2.1386721382743312,-0.45756726646417567,2.09196341477988,-0.5384812402344924,2.851029731883653,0.832784463837195,-3.1127439129258008,-2.1111170447001606,1.4506768639029024,0.0559849234285873,1.9955639828407947,4.111184431264244,-0.3500671774982747,-0.867974263048204,-2.562264684658124,-3.0394851605104014,-1.1395650646816495,0.9506941130511003,1.1261329219901175,1.2238404234782272,1.07535835301114,-1.2615027533949048,-2.0445371563516512,0.9942656521331157,0.5792115472707196,0.9900328265282372,-0.5328762693269349,0.9983083346916779,0.04890157701635081,0.21852539996833395,-0.10698793239020198,-0.3560221319308858,-0.03814619285642093,0.15344927689109644,0.07222807737866445,-0.04273221162859302
Caribbean,6.680513608592159,-6.494694586720001,-7.142488999922484,-0.9135147850007759,10.430613154455601,-4.47286799567572,4.811442953902771,-7.935118671460392,-8.971815669364336,30.713085983338594,3.4596065409495806,-5.12024312609392,-6.879323538667789,-3.5157536419641713,-7.16404719786741,-2.3837839242842835,3.2976670165402373,6.5249738406733915,8.07725723244367,-6.0741697203452345,-4.76772971772314,2.4200345898191045,0.09940927531055846,6.805641729593223,-4.297496880785677,-5.835052011283859,-5.675398962657225,-1.8293625585658915,7.445496776899517,8.254507137635837,11.388486887043909,6.167211587573647,-14.563242477713844,-9.937779753506112,-13.474310928844929,5.4595192947611055,8.625152552338928,-7.39811006140392,-0.341147630598147,2.7051261354165725,3.2140612920944167,12.128075380911307,1.1452596790673275,6.1061581152606,-13.692210619876525,-10.131699545656792,-2.155816691123804,-0.6142701658951771,4.809192986526917,0.4037331805852944,0.5370678393567945,-4.697814686442232,2.9938031330941457,4.068030557466505,-0.5961682289279876,-0.9818132501421686,5.31172906489626,-2.078290669410363,3.072548985436548,-4.9672341151415536,-3.4577866514787052,-0.302213302631988,3.7023503381627556
Central America,7.247698359323705,-4.362709451309883,-7.3198395402744785,1.4158149964064983,2.1597685408501572,1.4285055465704657,-1.3054631531154772,1.245625927563225,-1.7380076182910593,3.578368567636172,2.1628535285667216,-3.731634730108904,-1.3533945574263013,-3.5191484592429956,3.710917875213598,-2.156908822899226,1.135460722931984,4.767436564567905,-12.309628098294633,1.9116072190190556,9.459955858207083,-6.552894981344426,-1.0004665564089794,0.6285105574620251,11.148353571837086,-1.8523224984182791,1.6127224945824021,-7.013650926769399,-6.904562794176374,4.168687190673934,-3.1912228268953875,6.146458459915571,-1.8903536902244882,-0.7762656649587941,-0.9241510573579536,4.663662218552492,0.26428658211870354,1.782591922674837,-3.6166589172323445,-3.5229566920186035,3.9560732805024728,-3.470644448695151,2.3992950568124973,1.5347042400441624,-6.008928378178578,-0.5273065755460852,5.001054212924717,7.569485956489844,-3.1673156151229724,3.122655728478837,-11.766481960888632,-1.428493189987755,-0.4151907637911897,4.375641940918785,-1.165579078270364,5.241240992727269,1.612796547644335,-1.4527563007417585,-1.478253430119289,-1.7267990413125323,-0.9707878651272421,-0.42609031542595305,1.8254600869321969
Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.43793811797764,-4.2328782053885465,6.822295894311094,10.595802744743795,2.9871240254416462,-7.36280284820985,-6.155404084842899,4.053863746507403,5.361916836465952,-9.71969995018402,13.606429671048012,-16.508186993852473,23.932965084521477,-18.522911668954166,0.9882639775680104,-4.828353152512227,1.3066579458608685,8.288314388366771,3.462719665551782,-1.6146860671763172,-5.955212108103821,1.7273635208103815,-9.666054472434995,10.142554900984655,-1.8574333909519725
Eastern Africa,0.008796096526409255,0.9734479188448689,-0.1643332294682964,-1.2921281142965642,-0.4709725701488259,-1.8731562778340798,4.658739754131921,-2.7145147514151957,2.8383163633128468,-2.352596090701066,1.13968689196313,3.3798224537775297,-6.619619744011539,-1.295354330567148,0.022814428457475066,6.537506149855808,3.744422082476518,-2.2464708257707846,-3.3649299205427403,-3.020370629243229,2.6989309431768276,2.091459930993065,1.5875896337690572,-8.117312685161346,-0.6969372798989334,2.826752999130938,-4.366878308537733,5.681523477388578,9.050681081397325,4.662524459533033,-1.7618188282242406,-14.54132324415782,1.498819622182122,-5.381757942996116,-0.3421401486773559,9.59255701227944,-0.165286925861181,-2.435914520475476,2.4750816223291108,-1.264838727499525,2.795229508167865,-2.696934043350151,-2.804744377913221,3.1637593423550547,-2.141295510901102,4.684656690298372,-0.6327197658030336,-7.311974902696797,-4.176087957490197,4.877946662650916,2.109128469649442,3.090047320659934,0.2729281992730459,3.729218299488645,-2.721690242591533,-4.871480168042057,-0.6966370297658657,1.4872290418912841,-2.3891057952919064,3.197751185189912,2.8343833542724215,0.2598014050815331,-2.207131561598625
Eastern Asia,2.077599426080481,-1.4281108529908766,-2.1430983947945124,-1.1424469028979973,0.3852944181920151,4.097218796230468,2.315396871681854,-2.3477962031688593,-5.014331465758775,0.7472437028811724,0.7973670870485058,-3.2616598291670447,2.003659984752194,0.4057515080169707,1.4549086508541251,-0.046296282665234625,-2.326740775313792,2.8082512446751875,3.279946002662678,-4.3258908275217705,-6.285814662007888,-1.2403381476745552,4.656942287417552,7.481918616381185,-1.1938691102831536,-0.5852850677676756,-1.5084998467160906,-4.96958097537984,-1.7657326869394327,5.151405567021609,2.1158622864086962,0.8406891436507462,-1.4739881834717077,-5.600444336896397,-2.8676839295370478,3.4106068087986614,1.7453921590345243,5.619526871879612,6.019534037721113,-2.73334762986839,-3.3360318131243205,-2.0100987293031287,-7.261901322244037,0.06602844976179038,1.9294437877303412,2.6680612350049118,-0.10518553356306203,2.306018485858771,-0.9288569997457681,-1.8859194064072153,-0.524248728043736,0.12587768523051576,-0.3810787176275866,-2.005751352883647,4.123465691312096,1.8511160690751631,0.5072481374658324,-0.904793912102011,-0.98742950626501,-1.3119609811575117,0.4583133618982139,-0.10989474118636876,0.5517985210792286
Eastern Europe,0.46483113835188117,2.0787936845028048,-12.12256114342814,12.569377552064271,-9.33939383494189,12.694464819970571,-2.220118098653093,3.1548095541566985,-4.598467537873346,1.188155833508405,0.4848967829082724,-5.024548778454021,12.147089958634874,-2.9251333506084998,-18.582722341951165,9.402884888887572,0.7676412490316626,15.099675043316726,-1.3181000343884444,-0.8896273721877229,-11.63090780476897,-0.44558003294597126,1.079876073164952,-2.7793361675707295,-2.8883639579883122,4.082456293402495,0.20974211727224673,-3.4459957185604373,6.149275296806634,13.408738588772415,0.23883087178543724,-10.961986279391247,1.018958762842301,-5.520075641638766,-2.154923813235684,-4.654609071312265,21.877802349329286,-8.788871418165087,-10.573581743880291,-13.05377806705754,15.072647501430966,9.489265636986929,-15.402656263108176,14.930838448962536,1.064060302655189,-5.307815260850618,-13.080992197922484,20.107329431640675,4.905091688072371,-16.693407415719506,10.106620743563234,-14.62677733617896,0.5678855808602036,6.5534230976512164,-2.9339206346589113,3.3398608457309256,3.528180185413786,-2.787894716929471,0.8500675553990037,-5.361411394268531,2.480795620374477,-1.4609613909633719,1.6863011606287774
Europe,-1.3243650550593284,2.925717265108585,-6.610024186999669,7.938739411262463,-5.886222844415469,5.763690701762053,0.4087274587662891,2.49053049999517,-3.5170832128893714,-1.82819689551089,1.3979734796573882,-2.553020488505817,8.673740512946022,0.4042484173607521,-12.230426273991709,2.2892150460133514,-0.1588258933551033,10.120386247091858,-0.7066954668892672,0.7579726053994696,-7.595416148732564,0.059272322039111515,-2.720486830631059,3.1676060690951204,-0.9511737564717605,1.7740463652715213,-1.650951239522717,-2.3079623110328567,4.086207239675302,6.992121881296207,3.3761711936633416,-5.673053533709564,-0.9129657307007818,-6.56316896105546,-4.367268792631079,0.28641221761665064,11.95695241307596,-1.1052415156605397,-4.452920413710193,-4.561853100582333,3.7488217375320807,5.61699536422498,-11.87678194554223,11.939661313350838,0.4378667511780591,-4.9021168714025265,-8.298503149015735,13.310628579976386,3.6141474808090925,-9.90232734241194,4.234440660377563,-9.393680585012683,-0.13327308524193404,7.302235639029525,0.3643953154743175,-0.09450347584551579,1.6763684802206098,-4.510949399151563,2.1726483681328848,-3.4285220689806226,2.738740436207843,-1.1191674837480206,0.7096406952264118
Middle Africa,0.4402193144453179,-0.4156690019326421,1.0001218808394186,-0.7801336735147674,-0.5109715767897773,-1.4919267374789822,-0.42456773997622804,0.6301112293769129,2.0147351754583753,0.9016248983580231,-1.1920701062356458,-2.5715956783243867,-1.035466190251474,1.1782489531502214,4.685557600973567,1.2137285410755254,-0.30345992369931063,-2.5652042374569293,-1.5747613979668507,0.8463507161488899,-1.842960190754407,1.1445077350566704,-0.34484557798949306,-2.025455127932459,1.1210754052663154,3.4866527835198826,-1.5007370114681085,-0.836373605905673,-2.326687286571201,-0.81371694938312,2.0457822773210186,3.969196538110406,-0.9290767576457313,3.3627763353405236,-3.5635353043428233,-1.1680638344728065,-2.36798396952211,5.215057482512024,-0.7690394568637392,-1.9521557906458926,-0.9255702733085649,-0.21000098934578484,3.7673833200689324,3.2002240469302325,4.049816040356058,-1.7296522926522326,-6.998240374351569,-13.064962959294538,-11.219735348100963,14.501646706565557,9.95225539909647,0.31357729230819803,6.243325797357172,-3.943013936378196,-5.413957398884088,-0.8986330524279839,-0.8453967453930334,2.2545028709701755,1.5080139881075825,2.1414854438719386,0.1053584130314558,0.15677669515457834,-1.4322986739233845
